Task Title,Start Time,Subtask Description,Duration
DPE - Translate from fench,10:00,envelop,60
DPE - Translate from fench,10:00,Conso,60
Lunch,12:00,Lunch,60
DPE - Translate from fench,13:00,Needs ,30
DPE - Translate from fench,13:00,others ,60
DPE ,15:30,Meeting bart-lore,30
DPE - Translate from fench,16:00,Finalize transalation,60
DPE ,15:30,Meeting bart-lore,30
DPE - Translate from fench,16:00,Finalize transalation,60
DPE ,15:30,Meeting bart-lore,30
DPE - Translate from fench,16:00,Finalize transalation,60
DPE ,15:30,Meeting bart-lore,30
DPE - Translate from fench,16:00,Finalize transalation,60
